metros_cuadrados,baños,habitaciones,material,modelo,empresa,precio
165.0,2.0,3.0,"acero,hormigón",Tundra 3D,Atlántida Homes,353500.0
53.0,1.0,2.0,madera,Casa 53,Madercás,
189.0,2.0,3.0,madera,WES170P1,WES,273000.0
33.0,1.0,1.0,acero,Nomad,KEU,60000.0
93.0,2.0,4.0,madera,Modelo CM 30,Casas Nuevas Low Cost,76800.0
35.0,1.0,1.0,madera,Modelo 3,Kolbeg,57300.0
73.0,2.0,2.0,"acero,hormigón,madera",Modelo B2H BS,Grupo CUNI,109500.0
98.0,2.0,2.0,"acero,hormigón,madera",Modelo B-1H XL 98,Grupo CUNI,147000.0
73.0,1.0,2.0,"acero,hormigón,madera",Modelo B-2HT 73,Grupo CUNI,109500.0
70.0,1.0,3.0,madera,Soihtu,Forest House,105000.0
98.0,2.0,3.0,"acero,hormigón,madera",Modelo B-3H Tina,Grupo CUNI,147000.0
164.0,2.0,4.0,madera,Vista,Forest House,229600.0
84.0,1.0,2.0,madera,Saari,Forest House,117600.0
100.0,1.0,3.0,madera,Kommodori,Forest House,150000.0
60.0,1.0,2.0,madera,Sirius,Forest House,90000.0
80.0,1.0,2.0,madera,Syli,Forest House,112000.0
73.0,1.0,3.0,"acero,hormigón,madera",Modelo B-3H T 73,Grupo CUNI,109500.0
30.0,1.0,1.0,acero,Urban,Grupo Herrera,42000.0
45.0,1.0,1.0,madera,Modelo 45,Kolbeg,67050.0
75.0,1.0,2.0,hormigón,Modular Medium,Modular-House,
340.0,3.0,4.0,madera,Modelo 285,GSI Constructora,
120.0,1.0,3.0,madera,Tarragona,Mi Casa de Madera,149710.0
235.0,3.0,4.0,hormigón,Barbados,Bi·Homes,431319.0
110.0,2.0,2.0,acero,Modelo 1P T2 L02,Modiko,
150.0,3.0,3.0,acero,T13 150,Atictec,220500.0
131.0,2.0,3.0,acero,Project 131,H.C.I Ecoedificación,
202.0,2.0,4.0,madera,Everest 202,Madereco,
115.0,2.0,4.0,madera,Imada,Madelar,
160.0,3.0,4.0,"acero,hormigón",Atlas 4D,Atlántida Homes,352800.0
300.0,5.0,5.0,"acero,hormigón,madera",Modelo T-300,,397510.0
261.0,3.0,5.0,madera,Eduard,Casastar,
100.0,2.0,3.0,"acero,hormigón,madera",Modelo S-100,,158551.0
173.0,2.0,2.0,madera,Modelo 162,GSI Constructora,
54.0,1.0,2.0,acero,SORIA modular,Cortabitarte,44900.0
182.0,1.0,4.0,madera,Olympia M,TUCASAECO SOSTENIBLE,
106.0,2.0,3.0,hormigón,Polaris,Modunova,
309.0,3.0,3.0,madera,Smart 309,Madereco,
221.0,3.0,3.0,madera,Tuluza,Casastar,
142.0,2.0,3.0,acero,Modelo 1P T3 R10,Modiko,
210.0,3.0,4.0,hormigón,Casa Hormipresa M2,Hormipresa Living,294000.0
116.0,1.0,3.0,madera,Modelo Texas,Grupo CUNI,174000.0
160.0,3.0,4.0,acero,Modelo 160001,Pro-Gal Construcciones Prefabricadas,160000.0
42.0,1.0,1.0,acero,Mobile Home Miravet,ACASATEVA,40000.0
128.0,1.0,2.0,madera,Modelo Habana,Grupo CUNI,192000.0
218.0,3.0,3.0,madera,Modelo TKM-202,Tokamadera,316100.0
220.0,2.0,4.0,acero,Modelo 1P T4 R02,Modiko,
302.0,3.0,3.0,acero,Modelo 2P T3 L02,Modiko,
93.0,2.0,4.0,madera,Modelo CM 30,Casas Nuevas Low Cost,76800.0
110.0,1.0,2.0,acero,Modelo 1P T2 R03,Modiko,
120.0,2.0,4.0,"acero,hormigón",Casa 3,La Fabrica de Casas,
163.0,2.0,3.0,acero,Modelo 1P T3 U05,Modiko,
30.0,1.0,1.0,acero,Cubic 30,Cubic House,49549.0
200.0,3.0,3.0,acero,Modelo 200002,Pro-Gal Construcciones Prefabricadas,200000.0
95.0,2.0,2.0,madera,Lleida,Mi Casa de Madera,120010.0
161.0,2.0,2.0,acero,Modelo 1P T2 L03,Modiko,
110.0,1.0,2.0,acero,Modelo 1P T2 R03,Modiko,
52.0,1.0,2.0,madera,Apellaniz,KBOST,
216.0,3.0,3.0,madera,Catalina,Arboretum Haus,360000.0
40.0,1.0,1.0,madera,Paula,Mi Casa de Madera,39300.0
117.0,1.0,2.0,madera,Casa 117,Madercás,
39.0,1.0,2.0,acero,Carolina,Casas Prefabricadas López S.L.,
153.0,2.0,3.0,hormigón,Modelo Ametlla,Quarta Paret,330000.0
120.0,1.0,3.0,madera,ST MTB SEVEN,Steel Hous,
59.0,1.0,2.0,madera,Modelo CM 10,Casas Nuevas Low Cost,51800.0
72.0,2.0,3.0,acero,Kube 3,Geacon,74250.0
40.0,1.0,1.0,madera,Paula,Mi Casa de Madera,39300.0
150.0,2.0,3.0,madera,Modelo 1150,GSI Constructora,
15.0,1.0,1.0,acero,Tiny House 15,Proyectos y Modulares,20878.0
393.0,2.0,3.0,madera,Vitoria,LuxServis Eco Edificaciones,393000.0
134.0,2.0,4.0,madera,Angelina,Las Casas Modulares,190280.0
500.0,6.0,4.0,acero,Modelo Passivhaus 500,CSO ARQUITECTURA,
94.0,2.0,2.0,madera,Tirma,Madelar,
40.0,1.0,2.0,"acero,madera",ST MTB Mobile Home L,Steel Hous,
